PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;11;7;28079011_7_8;2018;10;19;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00005;V;00008;V;00007;V;00005;V;00005;V;00005;V;00005;V;00004;V;00007;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2018;10;19;00010;V;00006;V;00004;V;00003;V;00003;V;00005;V;00016;V;00032;V;00043;V;00048;V;00032;V;00024;V;00020;V;00021;V;00025;V;00029;V;00035;V;00026;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2018;10;19;00012;V;00007;V;00006;V;00005;V;00005;V;00006;V;00018;V;00037;V;00051;V;00060;V;00042;V;00032;V;00028;V;00029;V;00032;V;00035;V;00046;V;00029;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2018;10;19;003.7;V;003.1;V;002.5;V;002.2;V;001.9;V;001.8;V;001.8;V;001.8;V;011.6;V;106.5;V;437.4;N;418.6;N;115.8;N;041.8;V;019.0;V;011.1;V;007.5;V;006.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2018;10;19;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.4;V;000.6;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2018;10;19;000.9;V;000.8;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.7;V;001.6;V;012.1;V;229.9;N;059.6;V;019.5;V;008.5;V;005.1;V;002.9;V;002.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2018;10;19;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.8;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2018;10;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00005;V;00009;V;00007;V;00017;V;00007;V;00004;V;00004;V;00008;V;00006;V;00005;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2018;10;19;00009;V;00005;V;00006;V;00005;V;00004;V;00006;V;00019;V;00035;V;00040;V;00047;V;00033;V;00033;V;00026;V;00021;V;00019;V;00032;V;00033;V;00027;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2018;10;19;00010;V;00007;V;00008;V;00007;V;00006;V;00008;V;00022;V;00041;V;00047;V;00061;V;00045;V;00059;V;00036;V;00027;V;00025;V;00045;V;00042;V;00035;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
